id,business_name,street,area,postal_address ,city,country,call,category,address,place,postal_address
3480,Goba Tours Botswana (pty) Ltd,,,,Lobatse,Botswana,+267 533 2326,,,"African Mall, Zeerust Rd",P.O.Box 259
3481,Industrial Class Personnel - Dvet,,,,Gaborone,Botswana,+267 365 5038,,,,
3482,Likizo Adventures (kasane),,,,Gaborone,Botswana,+267 390 2824,,,,P.O.Box 413
3483,Megabit Intime Investments,,,,Gaborone,Botswana,+267 393 2178,,Plot 117 Unit3 Millenium Office Pk,,P.O.Box 201402
3484,Ned-adverts (pty) Ltd,,Mogoditshane,,Gaborone,Botswana,+267 391 6338,,Plot 997,,
3485,Okavango Explorations (pty) Ltd,,,,Maun,Botswana,+267 686 0528,,,The Mall,
3486,Okavango Kopano Mokoro Community Trust,,,,Maun,Botswana,+267 6864806,,,Apollo Hse,P.O. Box: 21385
3487,Pro Models,,,,Gaborone,Botswana,+267 318 0463,,,African Mall,
3488,Repro Scan,,,,Gaborone,Botswana,+267 391 4788,,,,P.O.Box 130
3489,Sebanana Ecoadventure,,,,Francistown,Botswana,+267 244 1977,,,"Opposite Council, Light Ind Sites",P.O.Box 759
3490,Skyline Travel,,,,Gaborone,Botswana,+267 393 9602,,Plot 64 Unit 28,,P.O.Box 1052
3491,Skyways Travel,,,,Gaborone,Botswana,+267 318 7039,,Plot 168 Main Mall Queens Rd,,P.O.Box 3889
3492,Soren Lindstrom Safaris (pty) Ltd,,,,Maun,Botswana,+267 686 0994,,,,P.O.Box 40
3493,Star Recruitment,,,,Gaborone,Botswana,+267 390 5431,,,,
3494,The Travelling Company,,,,Gaborone Hardware Hse Botswana Rd The Mall,Botswana,+267 395 2021,,,,
3495,Travel (pty) Ltd,,,,Francistown,Botswana,+267 241 2210,,,BGI complex,P.O.Box 1351
3496,Travel Centre Services,,,,Maun,Botswana,+267 686 4564,,,"Opp Furniture Mart, New Mall",P.O.Box 20189
3497,Vintage Travel & Tours,,,,Gaborone,Botswana,+267 317 0993,,"Plot 9821, Nyerere Dve",,P.O.Box 202102
3498,V I P Travel (pty) Ltd,,CBD Ext,,Francistown,Botswana,+267 241 6600,,"Plot 687, Blue Jacket St",,
3499,Adventure Africa,,,,Maun,Botswana,+267 686 1827,,,,P.O.Box 66
3500,Delasi Travel,,,,Kasane,Botswana,+267 625 1144,,,,P.O.Box 184
3501,Dikologa Botswana Travel,,,,Kasane,Botswana,+267 625 1662,,,,
3502,Employment Exchange Of Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 390 9530,,,,
3503,G M Sales & Distribution,,,,Gaborone,Botswana,+267 391 9315,,Plot 20632,Jams Unlimited,
3504,J M Sales & Distribution,,,,Gaborone,Botswana,+267 391 9315,,,,
3505,Kalagadi Dersert Safaris,,,,Pandamatenga,Botswana,+267 623 2110,,,,
3506,Kekatse Tours,,Sedibeng,,P.O.Box 60835,Botswana,+267 985 1104,,,,
3507,Maeto Travel Agency,,,,Mahalapye,Botswana,+267 472 0598,,,,
3508,New Advertiser,,,,Palapye,Botswana,+267 492 4335,,,,P.O.Box 10237
3509,No Name Africa Adventures,,,,Maun,Botswana,+267 686 1600,,,,
3510,Promo Gear,,,,Gaborone,Botswana,+267 393 2820,,Plot 178 Unit 1 & 2 International Commerce Pk,,P.O.Box 202875
3511,Ruwona Ak And Sons Express And Tours,,,,Francistown,Botswana,+267 241 2444,,Plot 5835,,P.O.Box 499
3512,Sevator Ventures,,,,Maun,Botswana,+267 686 3637,,,New Mall Radinama,P.O.Box 101
3513,Stiles & Stiles Connection,,,,Gaborone,Botswana,+267 350 0802,,Plot 91 Unit 6 G.I.C.P,,
3514,Sunrise Travel & Tours,,,,P.O.Box 403769,Botswana,+267 318 7807,,Unit 7 Tshipidi Hse Plot 684 Botswana Rd Main Mall,,
3515,Tbwa / Medcom (pty) Ltd,,,,Gaborone,Botswana,+267 390 2586,,,,
3516,Tholo Safari's,,,,Ghanzi,Botswana,+267 659 6796,,,,P.O.Box 6
3517,Travel Wise,,,,P.O.Box 254,Botswana,+267 262 2809,,,Selebi-Phikwe,
3518,Travel Centre Services,,,,Maun,Botswana,+267 686 4569,,,,
3519,Twilight Adventures (pty) Ltd,,,,Lobatse,Botswana,+267 533 4600,,,Pitikne,P.O.Box 10992
3520,Ultimate Africa Safaris,,,,Kasane,Botswana,+267 625 2448,,,,
3521,Segwana Depot (kbl),,,,Gaborone,Botswana,+267 391 2721,,"Plot 50642, Cnr. Mabeleapodi & Monamori Rd",Broadhurst Ind Est,
3522,Ultra Sky (PTY) LTD,,Lobatse,,Gaborone,Botswana,2673118494,,,,P. O. Box 482
3523,Sechaba Brewery Holdings,Cnr. Nelson Mandela Drive Kubu Rd,,,Gaborone,Botswana,+267 3971598,,,,P.O. Box: 438
3524,Botswana Breweries (pty) Ltd,,,,Gaborone,Botswana,+267 3953831,,Plot 1219 Industrial Site Nkurumah Rd,Old Industrial Sites,
3525,Segwama Liquor Distributors,,,,Francistown,Botswana,+267 2410360,,,,
3526,Segwana Selebi-phikwe (kbl),,,,P.O. Box: 282,Botswana,+267 2610826,,,Selebi-Phikwe,
3527,Segwana Francistown (kbl),,,,Francistown,Botswana,+267 241 3407,,,Behind Game Near Metro Sefalana,P.O. Box: 199
3528,Kabo-boswa Enterprises,,,,Mochudi,Botswana,+267 5777800,,,Phaphane Ward,P.O. Box: 201155
3529,Sedibeng Breweries,,,,Palapye,Botswana,+267 4923950,,,,P.O. Box: 10884
3530,Delta K9 Pty Ltd,,,,Gaborone,Botswana,26775550805,,,,P. O. Box 913 Selebi Phikwe
3531,Green Arrow (Pty) Ltd,,,,P.O Box 80757 Gaborone,Botswana,26775164349,,,,
3532,Aries Based Solutions,,Gaborone,,Gwest Industrial Plot 22033,Botswana,+267 76352782,,,,
3533,Creative Brands Botswana,,,,Gaborone,Botswana,+267 7132 8887,,"Plot 54374, 2nd Floor, Block A, Unit 5A-11, Grand Union Building",New Central Business District,
3534,Enviro Drive (PTY) LTD,,,,Mochudi,Botswana,2675728904,,,,P O Box 1744 Mogoditshane
3535,BrandRoot Investments Pty Ltd,,,,Francistown,Botswana,+267 2408101,,,,P O Box 23 Sebina
3536,Heritage Studio,Sir Seretse Khama road,,,Maun,Botswana,26772971835,,,,
3537,Creations Of Africa,,,,Gaborone,Botswana,+267 350 0402/3,,Plot 43173 Unit 14 Carramba Park Phakalane,,
3538,CBD Florist,"Latrobe Street, Melbourne, Victoria",,,Kopong,Botswana,1300851142,,,3000,
3539,Luna's Sweets and Treats,,,,Gaborone,Botswana,0,,,Online Bakery,
3540,Maja Health Care Division (A Unit of VI-JOHN Group),,Middle Circle,,Bobonong,Botswana,1147455555,,,"G-59, Mezzanine Floor Marina Arcade",
3541,Valentine's Gifts & Sports,,,,Francistown,Botswana,+267 244 0299,,Plot 31013 Grand Plaza Blue Jacket Street,,
3542,Excellence Recognito,,,,Gaborone,Botswana,+267 318 2520,,Plot 54015 Phase 4 Pure Drop Mall,,P.O.Box 405188
3543,Giftique,,,,Gaborone,Botswana,+267 391 0786,,,Shop 93 Game City Shopping Ctr,P.O.Box 26786
3544,World Design,,Riverwalk,,Gaborone,Botswana,+267 370 0210,,,Shop 41,
3545,Passion Monkey,,,,Gaborone,Botswana,00267 3906719,,,,P O Box 1152
3546,Associated Industries (pty) Ltd,"Nakedi Rd, Broadhurst Ind Est",,,Gaborone,Botswana,+267 395 2033,,,,P.O.Box 1195
3547,Excitement Store,,,,Gaborone,Botswana,+267 370 0510,,,"Shop 52 Riverwalk, Village",P.O.Box 45053
3548,Giftworld,,,,Lobatse,Botswana,+267 533 2640,,Plot 317/3 Near Chicken Licken,,P.O.Box 229
3549,Peaches,,,,Gaborone,Botswana,+267 318 2750,,"Plot 5648 Unit1, Nakedi Rd, Broadhurst Ind Est",,P.O.Box 908
3550,Pennywise (pty) Ltd,,,,Jwaneng,Botswana,+267 588 0852,,Plot 826 Main Mall,,P.O.Box 619
3551,Marang Gift Shop The,,,,Francistown,Botswana,+267 240 2848,,,,P.O.Box 398
3552,Memories Cards And Cater Hire,,,,Gaborone,Botswana,+267 391 6325,,,,P.O.Box 502550
3553,Pro-hobby,,,,Gaborone,Botswana,+267 319 0792,,,,
3554,Something Special Floricent Gift Shop,,,,Francistown,Botswana,+267 241 3707,,"Plot 005 Avtolord House, Next To Wesbank",,P.O.Box 444
3555,Ultra Kidz Toyshop,,,,Francistown,Botswana,+267 241 0888,,Plot 687,,
3556,Urban Gear,,,,Gaborone,Botswana,+267 395 1335,,,Shop 8 Shoprite Complex Station Rd,P.O.Box 259
3557,Zondo Gift,,,,Gaborone,Botswana,+267 242 1049,,,,
3558,Botswana Insurance Company Limited,,,,Francistown,Botswana,+267 241 3623,,"Plot 454, St Patrick St, Central",,P.O.Box 451
3559,BD Brothers Group,,,,Gaborone,Botswana,3116181,,,21314 Phakalane,
3560,Alpha Direct,,,,Intl. Commerce Park,Botswana,267 392 8264,,"""Ipelo House"" Plot 103 Gaborone",Unit # 12,
3561,Bona Life Insurance,,,,Gaborone,Botswana,+267 398 1800,,,Poso House,"Plot 54374, Unit 4A, Grand Union, CBD - Private Bag 001 AAD"
3562,Everest Micro Lending,,,,P O Box 10886 Francistown,Botswana,73001214,,,,
3563,Fin-Edu,,,,P. O. Box 504504 Gaborone,Botswana,+267 74 222 393,,,,
3564,Arc Payroll Services,,The Village,,Gaborone,Botswana,+267 3167906,,,"Unit 1a, The Courtyard",
3565,Caltex Oil Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 391 4777,,"Plot 1220, Nkrumah Rd, Madirelo Ext 6",,P.O.Box 47
3566,Vix Capital Purchase Order Financing,,,,PO Box 53470 Gaborone,Botswana,3110885,,,,
3567,Engen Marketing Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 392 2210,,,Western Bypass,P.O.Box 867
3568,Engen Tlokweng,Tlokweng Rd,,,Gaborone,Botswana,+267 393 0813,,,,P.O.Box 867
3569,Excavator Hire,,,,Gaborone,Botswana,+267 392 8392,,Plot 20578 Moshaneng Close Block 3 Ind,,P.O.Box 2402
3570,Fine Pharmaceuticals (pty) Ltd,Ramogononwane Rd,,,Gaborone West,Botswana,+267 392 2673,,Plot 17979,,
3571,Hollard Insurance Botswana,,,,Gaborone,Botswana,+267 395 8023,,,,P.O.Box 45029
3572,Multichoice Botswana,,,,Gaborone,Botswana,+267 370 0123,,,Unt111 Riverwalk Mall,
3573,Multi Choice Francistown,,,,Francistown,Botswana,+267 241 5292,,,"Unit 2A, Galo Centre",P.O.Box 1208
3574,Regent Insurance,,,,Gaborone,Botswana,+267 318 8153,,Plot 50370 Twin Towers Fairground Office Park,,
3575,Total Botswana (pty) Ltd,,,,Plot 22010 Kgomokasitwa Rd Industrial Sites Gaborone West,Botswana,+267 395 6673,,,,
3576,Transunion,,,,Gaborone,Botswana,+267 390 3535,,Plot 115 Unit 21 Kgale Mews,,
3577,Wesbank,,,,Gaborone,Botswana,+267 395 1363,,"Plot 8843 3 Finance Hse, Khama Cres",,P.O.Box 1129
3578,Letshego,,,,Gaborone,Botswana,+267 364 3033,,,Khama Cres,P.O. Box: 381
3579,Roland Wick Finance,Government Enclave Khama Crescent Block 25. State Drive,,,Gabane,Botswana,+1 (347) 622 8423,,,,
3580,Botswana Public Service College,,,,Gaborone,Botswana,+267 395 6324,,,,P.O. Box: 10026
3581,Ceda,Independence Ave,,,Gaborone,Botswana,+267 317 0895,,Plot 204,,
3582,Debswana Head Office,,Block 8,,Gaborone,Botswana,+267 361 4226,,Plot 64288 Airport Road,,
3583,Pelican Moving Company,,,,Gaborone,Botswana,+267 316 1342,,Plot 4716,,
3584,Engen Mahalapye,,,,Mahalapye,Botswana,+267 471 2150,,,,P.O.Box 37
3585,More Power Investments,,,,Kgale Court 126 Gaborone International Finance Park,Botswana,+267 -3924516,,,Unit 19,
3586,SmartSwitch Botswana,,,,Gaborone,Botswana,+267 364 7700,,,Unit 35 Kgale Mews,
3587,Topmarket Capital,,,,Gaborone,Botswana,+267 316 2642,,,Unit 14C iTowers North,
3588,Sheebu Investment (pty) Ltd T/A S.S Timber Centre,,,,Letlhakane,Botswana,+267 297 6820,,,Tawana Ward,P.O.Box 153
3589,Money Quest Investments,,,,Gaborone,Botswana,+267 318 0888,,Plot 6036 Ext2 Main Mall,,P.O.Box 2748
3590,Ripple Capital,,,,Gaborone,Botswana,+267 311 174 1,,Plot 183 Queens Rd,Main Mall,
3591,South African Express Airways (pty) Ltd,,Upper Flr Game City,,Gaborone,Botswana,+267 397 2397,,,Broadhurst,
3592,Botswana Institute Of Bankers,,,,Gaborone,Botswana,+267 395 2493,,GIB Bldg Ext 2 Plot 767,,
3593,Ceda Citizen Entrepreneurial Development Agency,,,,Kanye,Botswana,+267 544 0324,,Plot 1264 Maswapi Complex,,
3594,Ceda Citizen Entrepreneurial Development Agency,,,,Molepolole,Botswana,+267 592 0000,,,Next to Score,P.O.Box 3271
3595,G4s Francistown,,,,Francistown,Botswana,+267 241 2384,,Plot 1604 Seebelo Hse Light Ind,,P.O.Box 20243
3596,Wesbank,,,,Francistown,Botswana,+267 241 2160,,,"Autolot Hse, Blue Jacket St, CBD Ext",P.O.Box 951
3597,Metropolitan Botswana,,,,Maun,Botswana,+267 686 4838,,,National Development Bank Building (NDB) Old Mall,
3598,Nimble Group,,Broadhurst,,Gaborone,Botswana,+267 391 4419,,,"Segoditshane Way, 1st Floor, Professional House, Botswana Building, Society Mall",
3599,Debswana Orapa And Letlhakane Mines,,,,P/BAG 35 PALAPYE,Botswana,+267 297 0201,,,,
3600,Norsad Finance,Western Commercial Rd,,,Gaborone,Botswana,+267-0-316 0860,,,"First Floor, Peelo Place",
3601,Ticano Group,,Floor 5,,Gaborone,Botswana,+267-7-430-6295,,,"54352, Zambezi Towers",
3602,Turnstar Holdings,,,,Gaborone,Botswana,+267 393 6105,,,South-East,
3603,ITC Information Trust Company (Botswana) (pty) Ltd,,,,Gaborone,Botswana,+267 390 2600,,Plot 1266 Luthuli Rd,,
3604,Kika Funding,,,,Gaborone,Botswana,+267 7162 6639,,,South-East,
3605,Air Bp Aviation,,,,Gaborone,Botswana,+267 391 3188,,,Sir Seretse Khama Airport,P.O.Box 40968
3606,Boccim,,,,P.O.BOX AE 280 AEH Gaborone,Botswana,+267 3105839,,,,
3607,Stockbrokers Botswana Ltd,,,,Gaborone,Botswana,+267 395 7900,,Plot 22 Kharma Cres United Nation Place,,
3608,A S I (pty) Ltd G S A For South African Express Airways,,,,Gaborone,Botswana,+267 397 2397,,,,
3609,Avis Fleet Services,,,,Gaborone,Botswana,+267 391 3093,,,Sir Seretse Khama Airport,P.O.Box 790
3610,Bank Gaborone,,,,Gaborone,Botswana,+267 367 1500,,Plot 5129 Pilane/Queens Rd The Mall,,
3611,Bateman Projects Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 316 7873,,Plot 50370 Acumen Pk Fairgrounds,,
3612,Botswana Development Corporation Limited,,,,Moedi Plot 50380 Gaborone International Showgrounds off Machel Dve,Botswana,+267 365 1300,,,,
3613,Gabz Fm 96.2,,Madirelo Ext 6,,Gaborone,Botswana,+267 317 0905,,"Plot 17954 Capital Plaza, Haile Selassie Rd",,
3614,G A B Z Fm 96.2,Old Lobatse Rd,,,Gaborone,Botswana,+267 317 0905,,Plot 17954 Beta Hse,,
3615,Jwaneng Saving And Credit Society,,,,Jwaneng,Botswana,+267 588 0931,,"PLOT 2773, CBD, OLD BARCLAYS HOUSE",,P.O.Box 2232
3616,BizCapital (Pty) Ltd.,,,,Gaborone,Botswana,+267 392-2099,,,South-East,
3617,Botswana Insurance Holdings,,,,Gaborone,Botswana,+267 3707400,,,South-East,
3618,Tempest Gold Property App,,,,Gaborone,Botswana,26772196950,,,South-East,
3619,Kavango Air,,,,Maun Airport,Botswana,+267 686 0191,,,,
3620,Radical Investments,,,,Lobatse,Botswana,+267 533 2180,,"Plot 2131, Woodhall Ind Site",,P.O.Box 10723
3621,Stanbic Investment Management Services,,,,Gaborone,Botswana,+267 318 0262,,,,
3622,African Banking Corporation,,,,Gaborone,Botswana,+267 390 5455,,"Plot 50669, Tholo House",Fairgrounds,
3623,African Banking Corporation Of Botswana,,,,Gaborone,Botswana,+267 390 5455,,Plot 50669 ABC Hse,Fairgrounds,
3624,African Cooper Botswana,,,,Francistown,Botswana,+267 241 0109,,Plot 1553,Light Ind Area,
3625,African Wildlife Foundation,,,,Kasane,Botswana,+267 625 2385,,,Shop 11 Audi Centre,
3626,Air Botswana,,,,P.O.Box 222,Botswana,+267 241 2393,,,Blue Jacket Square Opp Botswana Book Centre,
3627,Athebana Investment,,,,Lobatse,Botswana,+267 530 0135,,Plot 222 Next To Old Barclays,,P.O.Box 792
3628,Beci,,,,Gaborone,Botswana,+267 318 8015,,Unit 6 Plot 115 Kgale Mews Millenium Park,,
3629,Botswana Insurance Fund Management,,,,Gaborone,Botswana,+267 395 1564,,Plot 50676 Blk A 3rd Flr Fairgrounds Office Park,,
3630,Debeers Botswana,,,,Plot 685/6 Botswana Rd,Botswana,+267 390 2991,,,,
3631,Fincraft (pty) Ltd,,,,Gaborone,Botswana,+267 390 1106,,Plot 115 Unit 21 Kgale Mews,,P.O.Box 201336
3632,General Insurance Botswana,Opp Civic Centre Blue Jacket St,CBD Ext,,Francistown,Botswana,+267 241 2164,,,,
3633,Grinaker - Lta,,,,Gaborone,Botswana,+267 393 3819,,,Mmamashia Camp Site Mmamashia,
3634,Linyanti Explorations,,,,Kasane,Botswana,+267 625 0505,,Plot 31 Kazungula Industrial.,,P.O.Box 22
3635,Marsh (pty) Ltd,,,,Gaborone,Botswana,+267 318 8000,,,,Private Bag 103
3636,Red East Construction (pty) Ltd,,,,Gaborone,Botswana,+267 391 7366,,,,P.O.Box 40543
3637,Storehouse Investments (pty) Limited,,,,Gaborone,Botswana,+267 393 4526,,"Plot 42796 Phakalane, Broadhurst Ind Site",,P.O.Box 404114
3638,Botswana Television,,,,Botswana,Botswana,+267 365 3001,,,,
3639,KS Energy,,,,Mochudi,Botswana,2673700818,,,Kgatleng,
3640,OFC,,,,Gaborone,Botswana,+267 75321117,,,South-East,
3641,Shiza Investments (Pty) Ltd,,,,Kasane,Botswana,+267 625 0997,,,"Industrial Site, Kazungula",P.O.Box 583
3642,Stanbic Bank Botswana,,,,Gaborone,Botswana,+267 361 8230,,Plot 5067 Showgrounds,,
3643,Tom (pty) Ltd,,,,Kanye,Botswana,+267 5777950,,,,P.O.Box 20889 Mochudi
3644,Debswana Diamond Company (pty) Ltd,,Gaborone,,Jwaneng,Botswana,+267 318 0778,,"Block 8, Plot 64288 Airport Road",,
3645,Air Bp Aviation Services,,,,P.O.Box 335,Botswana,+267 686 0206,,,Maun Airport,
3646,Bicornis Holdings,,,,Maun,Botswana,+267 686 0989,,,Industrial Sites,
3647,B P Filling Station Maun T/a Nchanga Enterprises,,,,Maun,Botswana,+267 686 1642,,,Filling Station Old Mall Mokoro Centre,P.O.Box 335
3648,Caria Investments (pty) Ltd,,,,Gaborone,Botswana,+267 390 0648,,Plot 181 Queens Rd Main Mall,,P.O.Box 402401
3649,Flamingo Investments,,,,Maun,Botswana,+267 686 1230,,Plot 1 Motlheba Rd Opp Airport,,
3650,F & P Investments (pty) Ltd,,,,Palapye,Botswana,+267 492 4687,,,near F & E Auto Spares,P.O.Box 10661
3651,Ghanzi Brigade Development Trust,,,,Ghanzi,Botswana,+267 659 6347,,Plot 1308 Tsubantsua,,P.O.Box 387
3652,Impala Trading,Old Tonota Rd,,,Francistown,Botswana,+267 241 2919,,,,P.O.Box 1043
3653,Innovex Insurance Brokers,,Mogoditshane,,Gaborone,Botswana,+267 316 3159,,Plot 1296 Zigour Motors.,,
3654,Man Investment T/a Give And Take,,,,Kanye,Botswana,+267 544 2066,,,Main Mall,
3655,Moolman Mining,,,,Plot 766/7 Next To Francistown College Of Education,Botswana,+267 241 8848,,,,
3656,N B V Investments,,,,Francistown,Botswana,+267 241 5599,,,Suite 24 Barclays Plaza,P.O.Box 11106
3657,Preleko Investments,Timane Rd,,,Jwaneng,Botswana,+267 588 3120,,,,P.O.Box 186
3658,Robust Kits Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 313 2928,,Plot 20614 Block3,,
3659,Rocha Investments,,,,P.O.Box 66,Botswana,+267 392 4771,,Plot 18514 Phase1,Gaborone West,
3660,Tack Investments (pty) Ltd,,,,Francistown,Botswana,+267 240 2560,,Plot 1080,Dumela Ind Sites,
3661,T Z Filling Station,,,,Gaborone,Botswana,+267 313 2132,,"Plot 1143, Zeerust Rd, Tlokweng",,P.O.Box 201682
3662,Wayside Investment,18km From francistown on the way to bulawayo,,,P.O.Box 107,Botswana,+267 241 3687,,,,
3663,Afmac (pty) Ltd,,,,Gaborone,Botswana,+267 319 1348,,,,
3664,Botswana Life Insurance Ltd,,,,Gaborone,Botswana,+267 364 5100,,Plot 50676,,
3665,Botswana Life Agency Premier Wealth,,,,Plot 157 Unit 2 Gaborone International Commerce Park,Botswana,+267 390 0564,,,,
3666,Botswana Ash (pty) Ltd,,,,Sowa Town,Botswana,+267 621 3210,,,,
3667,B T C (training),,,,Gaborone,Botswana,+267 390 1009,,,,
3668,Chobe Enclave Conservation Trust,,W/City Kasane.,,P.O.Box 91,Botswana,+267 625 0159,,,,
3669,De Beers Prospecting (botswana) (pty) Ltd,,,,Lobatse,Botswana,+267 533 0331,,,,P.O.Box 90
3670,De Beers Prospecting Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 391 9962,,Plot 53997 Magochanyama Rd,,P.O.Box 404331
3671,Diamond Manufacturing Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 391 2055,,"Plot 6407, Tlhwane Rd, Broadhurst Ind Est",,P.O.Box 965
3672,Ditz Investments,,Tati Siding,,P.O.Box 3010028,Botswana,+267 243 1079,,,,
3673,Ellwood Investment Services,,,,Gaborone,Botswana,+267 390 8936,,"Plot 183, Queens Rd",Badiri,
3674,Fast Deck (pty) Ltd,,"20597 Ext 34, Broadhurst",,Gaborone,Botswana,+267 397 1974,,,,P.O.Box 404477
3675,Fraser Alexander Tailings Botswana,,,,Francistown,Botswana,+267 240 2328,,,,P.O.Box 40028
3676,Gaborone Broadcasting Comp (pty) Ltd,,,,Gaborone,Botswana,+267 395 7654,,Plot 53996,Broadhurst Ind Sites,
3677,G3 Investments,,,,Gaborone,Botswana,+267 390 6295,,"Plot 20603 Blk3, Broadhurst",,P.O.Box 20273
3678,Jacana Enterprises,,,,Maun,Botswana,+267 686 1456,,,,P.O.Box 20648
3679,Jamcorp T/a Engen South Bridge,,,,Francistown,Botswana,+267 241 7337,,Plot 904,,
3680,Kgale View Service Station,,,,P.O.Box 40310,Botswana,+267 397 1740,,"Plot 22144, New Lobatse Rd",Gaborone West,
3681,Kisarura Investment,,,,Kanye,Botswana,+267 544 0329,,,Opp Ellerines Main Mall,
3682,K P G Investments,,,,P.O.Box 403947,Botswana,+267 393 9493,,Plot 22054 Unit13,Gaborone West Ind,
3683,Masego Industries,,,,Francistown,Botswana,+267 240 3577,,,,P.O.Box 10323
3684,Mopane Gold Mine,Matsiloje Rd,,,Francistown,Botswana,+267 241 0096,,,,
3685,Nchini Investment,,Gaborone West Ind,,P.O.Box 25035,Botswana,+267 391 6251,,,Sifmo Bldg Old Lobatse Rd,
3686,Noise Boys (pty) Ltd,,,,Gaborone,Botswana,+267 390 9972,,,,
3687,Onketsang Investments,,,,P.O.Box 205690,Botswana,+267 395 2192,,Plot 5196 BOCCIM Premises,Gaborone West Ind,
3688,Onma Investment,,,,Francistown,Botswana,+267 241 8992,,,Town Centre Bldg Office 15,P.O.Box 2001
3689,Permaculture Trust Office,,,,Serowe,Botswana,+267 463 2428,,,,P.O.Box 31113
3690,Permaculture Trust,,,,Ghanzi,Botswana,+267 659 6138,,Plot 66,,
3691,Petroleum Installations Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 392 5024,,,,P.O.Box 1440
3692,Profesap Investment,,,,Bobonong,Botswana,+267 261 9500,,,Kgwatalala Ward,P.O.Box 1611
3693,Rank Consult (pty) Ltd,,,,Gaborone,Botswana,+267 395 6302,,,"2 BBS Hse, Broadhurst Mall",P.O.Box 41695
3694,Refined Oil Products (pty) Ltd,,,,Gaborone,Botswana,+267 391 2791,,"Plot 10247, Cnr. Lejara & Noko Rd",Broadhurst Ind Est,
3695,Regent Life Botswana Ltd,,,,Gaborone,Botswana,+267 318 8133,,Plot 50370 Twin Towers Fairground Office Park,,
3696,S D V Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 395 1961,,Plot 5625 Lejara Rd,Broadhurst Ind,
3697,Sherwood Village Investment,,Sherwood Ranch,,P.O.Box 1,Botswana,+267 491 5750,,,,
3698,S T Investment Pty Ltd,,,,Palapye,Botswana,+267 492 2660,,,Old Mall Opp FNB,P.O.Box 126
3699,Sypol Investments,Old Lobatse Rd,,,Gaborone,Botswana,+267 397 1618,,,Kagiso Ctr,
3700,Tocadi,,,,Shakawe,Botswana,+267 687 5168,,,,P.O.Box 472
3701,Tswapong Bokone Brigade Dev Trust,,,,Lerala,Botswana,+267 495 4021,,,Mmonneng Ward,P.O.Box 270
3702,Waste Recovery Systems,,,,Mochudi,Botswana,+267 572 8939,,,,
3703,Yarona Fm 106.6,,,,Gaborone,Botswana,+267 391 2305,,Plot 28562 Marshal Dve Fairground Mall,,P.O.Box 1607
3704,Discovery Metals Ltd,,,,Gaborone,Botswana,+267 318 0751,,,Phakalane,
3705,Letloa Trust,,,,Ghanzi,Botswana,+267 659 7049,,,,P.O.Box 573
3706,Multichoice,,,,Gaborone,Botswana,+267 390 7777,,Unit 5 Plot 20695 Western By Pass,Broadhurst,
3707,New Wave Investments,,,,Mahalapye,Botswana,+267 472 0406,,,Next to Spar,P.O.Box 2457
3708,Asenjo Energy,,,,rnational Finance Park,Botswana,+267 316 1066,,Kwena Hse Suite 5 Plot 117 Gaborone Inte,,
3709,Personal Finance Apply Now,,,,gaborone,Botswana,8826195489,,,,
3710,Stanbic Investments,,,,Gaborone,Botswana,+267 391 0310,,Plot 50676 Phase 2 Fairgrounds Office Block D Unit 10,,
3711,snugloans,,USA Zip code: 89449 Ph: 855-270-8448,,Moshupa,Botswana,855-270-8448,,,"Stateline, Nevada",
3712,Ceda Branch 2,,,,Gaborone,Botswana,+267 390 7340,,Plot 13142/3/4 BBS Mall,,
3713,Ceda Citizen Entrepreneurial Development Agency,,,,Maun,Botswana,+267 686 4169,,Plot 730 Old Mall Next to Barclays Bank Old Mall,,
3714,Ceda (citizen Entrepreneurial Development Agency),,,,Francistown,Botswana,+267 241 2775,,,451 St Patrick St near Village Mall,P.O.Box 1845
3715,Ceda (citizen Entrepreneurial Development Agency),,,,Tsabong,Botswana,+267 654 0740,,,,
3716,Coronation Fund Managers,,,,Gaborone,Botswana,+267 390 0152,,,,
3717,G45,,,,Gaborone,Botswana,+267 390 1314,,Block 8 Ind Plot 20584 Western Bypass,,P.O.Box 1488
3718,Imara Asset Management (pty) Ltd Botswana,,,,Gaborone,Botswana,+267 3188708,,,,
3719,South African Express Airways (pty) Ltd,,Upper Flr Game City,,Gaborone,Botswana,+267 390 5740,,,Broadhurst,
3720,Burial Insurance,,,,Gaborone,Botswana,+267 318 7790,,Plot 10403 White City,,P.O.Box 80401
3721,Carlton Insurance Agencies (pty) Ltd,Lobatse Rd,,,Gaborone,Botswana,+267 393 6104,,,,P.O.Box 4977
3722,Dee Murphy Investments,,Next Ok,,Maun,Botswana,+267 686 5563,,,Old Mall,
3723,Embassy Pharmaceuticals,,,,Gaborone,Botswana,+267 316 4251,,,,P.O.Box 46131
3724,Gosiame Investment,,,,Molepolole,Botswana,+267 592 0934,,,,P.O.Box 395
